validScientificName,scientificNameAuthorship,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Ilex aquifolium,L.,Dicot,perennial,tree,45.1,54.9,0,CS,1
Illecebrum verticillatum,L.,Dicot,annual,forb,0,0,100,R,1
Impatiens balfourii,Hook.f.,Dicot,perennial,forb,46.86,0,53.14,CR,6
Impatiens capensis,Meerb.,Dicot,annual,forb,31.49,21.81,46.7,R/CSR,2
Impatiens noli-tangere,L.,Dicot,annual,forb,33.49,0,66.51,R/CR,1
Impatiens pallida,Nutt.,Dicot,perennial,forb,11.93,56.59,31.48,S/CSR,4
Impatiens parviflora f. albiflora,Priszter,Dicot,annual,forb,38.86,0,61.14,CR,1
Indigofera arrecta,Hochst. ex A.Rich.,Dicot,perennial,shrub,28.7,37.98,33.32,CSR,8
Inga acuminata,Benth.,Dicot,perennial,tree,48.15,38.8,13.05,CS/CSR,7
Inga capitata,Desv.,Dicot,perennial,tree,42.07,46.65,11.28,CS/CSR,7
Inga cayennensis,Sagot ex Benth.,Dicot,perennial,tree,38.51,48.86,12.63,CS/CSR,7
Inga cocleensis,Pittier,Dicot,perennial,tree,65.27,28.69,6.04,C/CS,7
Inga goldmanii,Pittier,Dicot,perennial,tree,74.36,19.97,5.67,C/CS,7
Inga laurina,(Sw.) Willd.,Dicot,perennial,tree,47.27,46.81,5.92,CS,7
Inga marginata,Willd.,Dicot,perennial,tree,45.85,45.41,8.73,CS,7
Inga mucuna,Walp.,Dicot,perennial,tree,73.89,15.44,10.67,C/CS,7
Inga nobilis,Willd.,Dicot,perennial,tree,60.57,33.57,5.86,C/CS,7
Inga pezizifera,Benth.,Dicot,perennial,tree,59.64,29.98,10.38,C/CSR,7
Inga punctata,Willd.,Dicot,perennial,tree,58.73,37.08,4.19,CS,7
Inga ruiziana,G.Don,Dicot,perennial,tree,73.79,21.99,4.22,C/CS,7
Inga sapindoides,Willd.,Dicot,perennial,tree,66.32,25.71,7.98,C/CS,7
Inga spectabilis,(Vahl) Willd.,Dicot,perennial,tree,73.58,23.12,3.3,C/CS,7
Inga thibaudiana,DC.,Dicot,perennial,tree,58.15,34.09,7.76,CS,7
Inga umbellifera,(Vahl) DC.,Dicot,perennial,tree,55.58,35.56,8.85,CS,7
Pentanema britannicum,"(L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Dicot,perennial,forb,50.06,0,49.94,CR,1
Inula helenium  subsp. helenium,"",Dicot,perennial,forb,84.09,9.25,6.66,C,1
Pentanema britannicum,"(L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Dicot,perennial,forb,18.17,64.97,16.86,S/CSR,1
Pentanema asperum,(Poir.) G.V.Boiko & Korniy.,Dicot,perennial,forb,21.85,33.49,44.65,SR/CSR,1
Ipomopsis aggregata,(Pursh) V.E.Grant,Dicot,perennial,forb,45.35,0,54.65,CR,4
Ipomopsis multiflora,(Nutt.) V.E.Grant,Dicot,perennial,shrub,5.36,34.98,59.66,SR,4
Iris foetidissima,L.,Monocot,perennial,forb,60.73,37.78,1.49,CS,1
Iris graminea,L.,Monocot,perennial,forb,54.65,33.38,11.97,C/CSR,1
Iris missouriensis,Nutt.,Monocot,perennial,forb,48.9,51.1,0,CS,4
Iris pseudacorus,L.,Monocot,perennial,forb,81.9,4.25,13.85,C,1
Iris sibirica,L.,Monocot,perennial,forb,36.5,38.49,25.01,CSR,1
Isatis tinctoria,L.,Dicot,perennial,forb,57.83,0,42.17,CR,1
Ischaemum afrum,(J.F.Gmel.) Dandy,Monocot,perennial,graminoid,14.91,76.86,8.23,S/CS,8
Enemion biternatum,Raf.,Dicot,perennial,forb,18.23,9.97,71.8,R/CR,4
Cyclachaena xanthiifolia,(Nutt.) Fresen.,Dicot,annual,forb,71.29,0.22,28.49,C/CR,4
Ixonanthes icosandra,Jack,Dicot,perennial,tree,22.86,75.12,2.02,S/CS,9
Ixora lobbii,Loudon,Dicot,perennial,shrub,43.77,56.23,0,CS,9
Jacaranda copaia,(Aubl.) D.Don,Dicot,perennial,tree,75.38,20.59,4.03,C/CS,7
Jacaranda racemosa,Cham.,Dicot,perennial,shrub,23.61,72.14,4.24,S/CS,7
Jasione montana,L.,Dicot,perennial,forb,0,49.45,50.55,SR,1
Juglans regia,L.,Dicot,perennial,tree,73.16,21.45,5.4,C/CS,1
Juncus alpinoarticulatus,Chaix,Monocot,perennial,graminoid,6.32,31.03,62.66,R/SR,1
Juncus alpinoarticulatus,Chaix,Monocot,perennial,graminoid,4.9,68.1,27,S/SR,1
Juncus articulatus,L.,Monocot,perennial,graminoid,15.8,64.95,19.25,S/CSR,1
Juncus atratus,Krock.,Monocot,perennial,graminoid,33.81,58.66,7.53,CS,1
Juncus biglumis,L.,Monocot,perennial,graminoid,0,67.44,32.56,S/SR,1
Juncus bulbosus,L.,Monocot,perennial,aquatic,5.27,50.16,44.58,SR,1
Juncus castaneus  subsp. castaneus,"",Monocot,perennial,graminoid,13.42,61.19,25.39,S/CSR,1
Juncus conglomeratus,L.,Monocot,perennial,graminoid,19.93,80.07,0,S/CS,1
Juncus decipiens,(Buchenau) Nakai,Monocot,perennial,graminoid,38.48,61.52,0,CS,1
Juncus filiformis,L.,Monocot,perennial,graminoid,23.03,76.8,0.18,S/CS,1
Juncus gerardii,Loisel.,Monocot,perennial,graminoid,9.38,67.98,22.63,S/SR,1
Juncus inflexus f. farctus,(Asch. & Graebn.) Soó,Monocot,perennial,graminoid,32.56,67.44,0,S/CS,1
Juncus jacquinii,L.,Monocot,perennial,graminoid,12.39,87.61,0,S,1
Juncus rigidus,Desf.,Monocot,perennial,graminoid,25.91,74.09,0,S/CS,1
Juncus minutulus,(Albert & Jahand.) Prain,Monocot,annual,graminoid,0,55.5,44.5,SR,1
Juncus ranarius,Songeon & E.P.Perrier,Monocot,annual,graminoid,0,25.94,74.06,R/SR,1
Juncus sphaerocarpus,Nees ex Funk,Monocot,annual,graminoid,0.14,59.7,40.16,SR,1
Juncus squarrosus var. luxurians,Lej. & Courtois,Monocot,perennial,graminoid,3.88,96.12,0,S,1
Juncus subnodulosus,Schrank,Monocot,perennial,graminoid,71.54,28.46,0,C/CS,1
Juncus tenageia,Ehrh. ex L.f.,Monocot,annual,aquatic,2.02,0,97.98,R,1
Juncus tenuis,Willd.,Monocot,perennial,graminoid,6.68,65.77,27.55,S/SR,2
Oreojuncus trifidus,(L.) Záv. Drábk. & Kirschner,Monocot,perennial,graminoid,5.78,94.22,0,S,1
Juniperus communis,L.,Gymnosperm,perennial,shrub,0,86.61,13.39,S,1
Juniperus oxycedrus  var. oxycedrus,"",Gymnosperm,perennial,tree,1.29,85.51,13.21,S,1
Juniperus virginiana,L.,Gymnosperm,perennial,tree,4.92,95.08,0,S,4
Jurinea cyanoides,(L.) Rchb.,Dicot,perennial,forb,45.12,54.88,0,CS,1
Justicia graciliflora,(Standl.) D.N.Gibson,Dicot,perennial,liana,47.73,20.15,32.12,C/CSR,7
Kalmia angustifolia,L.,Dicot,perennial,shrub,10.02,89.98,0,S,2
Kalmia procumbens,"(L.) Gift, Kron & P.F.Stevens ex Galasso, Banfi & F.Conti",Dicot,perennial,shrub,0,100,0,S,1
Kemulariella caucasica,(Willd.) Tamamsch.,Dicot,perennial,forb,25.67,28.26,46.07,R/CSR,1
Kernera saxatilis,(L.) Sweet,Dicot,perennial,forb,0.51,0,99.49,R,1
Kerria japonica,(L.) DC.,Dicot,perennial,shrub,27.87,39.08,33.05,CSR,1
Kickxia spuria,(L.) Dumort.,Dicot,annual,forb,34,7.6,58.4,CR,1
Knautia arvensis,(L.) Coult.,Dicot,perennial,forb,70.27,5.66,24.07,C/CR,1
Knautia drymeia,Heuff.,Dicot,perennial,forb,57.1,0,42.9,CR,1
Knautia transalpina,(Christ ex Gremli) Briq.,Dicot,perennial,forb,67.08,8.6,24.31,C/CR,1
Knautia velutina,Briq.,Dicot,perennial,forb,68.98,0,31.02,C/CR,1
Knema furfuracea,Warb.,Dicot,perennial,tree,47.16,46.17,6.67,CS,9
Knema laurina,(Blume) Warb.,Dicot,perennial,tree,36.59,63.41,0,S/CS,9
Knema patentinervia,(J.Sinclair) W.J.de Wilde,Dicot,perennial,tree,66.18,33.82,0,C/CS,9
Knema scortechinii,(King) J.Sinclair,Dicot,perennial,tree,38.85,52.86,8.29,CS,9
Kobresia myosuroides,(Vill.) Fiori,Monocot,perennial,graminoid,5.09,94.91,0,S,1
Koeleria micrathera,Griseb.,Monocot,perennial,graminoid,26.49,53.18,20.33,S/CSR,1
Koeleria glauca,DC.,Monocot,perennial,graminoid,8.17,78.9,12.93,S/SR,1
Koeleria macrantha,(Ledeb.) Schult.,Monocot,perennial,graminoid,14.21,72.85,12.95,S/CS,1
Laburnum alpinum,(Mill.) Bercht. & J.Presl,Dicot,perennial,tree,41.08,40.05,18.87,CS/CSR,1
Laburnum anagyroidis,Medik.,Dicot,perennial,tree,42.03,28.41,29.56,CSR,1
Lacistema aggregatum,(P.J.Bergius) Rusby,Dicot,perennial,tree,42.53,32.3,25.17,CSR,7
Lacmellea panamensis,(Woodson) Markgr.,Dicot,perennial,tree,33.43,49.34,17.23,CS/CSR,7
Cicerbita alpina,Wallr.,Dicot,perennial,forb,68.58,0,31.42,C/CR,1
Lactuca canadensis,L.,Dicot,biennial,forb,43.48,12.6,43.92,CR/CSR,4
Lactuca perennis,L.,Dicot,perennial,forb,55.15,0,44.85,CR,1
Lactuca serriola,L.,Dicot,biennial,forb,57.86,9.36,32.78,C/CSR,1
Lactuca tatarica,C.A.Mey.,Dicot,perennial,forb,52.54,0,47.46,CR,1
Lactuca virosa,Hablitz,Dicot,biennial,forb,65.23,3.17,31.6,C/CR,1
Laennecia schiedeana,(Less.) G.L.Nesom,Dicot,annual,forb,21.15,5.45,73.4,R/CR,4
Laetia procera,(Poepp.) Eichler,Dicot,perennial,tree,40.46,47.49,12.05,CS/CSR,7
Laetia thamnia,L.,Dicot,perennial,tree,33.36,49.96,16.69,CS/CSR,7
Lafoensia punicifolia,DC.,Dicot,perennial,tree,26.64,69.63,3.73,S/CS,7
Lagenocarpus alboniger,C.B.Clarke,Monocot,perennial,graminoid,17.56,82.44,0,S/CS,7
Lagenocarpus rigidus  subsp. tenuifolius,(Boeckeler) T.Koyama & Maguire,Monocot,perennial,graminoid,12.15,87.85,0,S,7
Lagenocarpus velutinus,Nees,Monocot,perennial,graminoid,24.43,75.57,0,S/CS,7
Lagurus ovatus  subsp. nanus,(Guss.) Messeri,Monocot,annual,graminoid,14.58,16.73,68.69,R/SR,1
Lamium galeobdolon,(L.) L.,Dicot,perennial,forb,28.54,37.36,34.1,CSR,1
Lamium album,L.,Dicot,perennial,forb,29.26,9.75,60.99,R/CR,1
Lamium amplexicaule,L.,Dicot,biennial,forb,8.95,0,91.05,R,1
Lamium galeobdolon,(L.) L.,Dicot,perennial,forb,40,0,60,CR,1
Lamium maculatum,L.,Dicot,perennial,forb,19.98,33.23,46.79,SR/CSR,1
Lamium purpureum  var. incisum,(Willd.) Pers.,Dicot,annual,forb,22.34,19.71,57.94,R/CSR,1
Dysoxylum parasiticum,(Osbeck) Kosterm.,Dicot,perennial,tree,47.82,52.18,0,CS,9
Lantana camara,L.,Dicot,perennial,shrub,34.54,46.42,19.04,CS/CSR,7
Helichrysum luteoalbum,(L.) Rchb.,Dicot,annual,forb,9.66,0,90.34,R,1
Lappula deflexa,Garcke,Dicot,perennial,forb,51.34,0,48.66,CR,1
Lappula squarrosa,Dumort.,Dicot,biennial,forb,28.42,0,71.58,R/CR,1
Lapsana communis,L.,Dicot,annual,forb,48.17,1.59,50.24,CR,1
Larix decidua,Mill.,Gymnosperm,perennial,tree,0,99.16,0.84,S,1
Larrea divaricata f. viscosa,Hauman,Dicot,perennial,shrub,1.02,98.98,0,S,4
Laserpitium halleri,Crantz,Dicot,perennial,forb,70.21,24.79,5,C/CS,1
Laserpitium latifolium,L.,Dicot,perennial,forb,81.73,6.22,12.05,C,1
Laserpitium nitidum,Zanted.,Dicot,perennial,forb,61,25.33,13.67,C/CSR,1
Silphiodaucus prutenicus,"(L.) Spalik, Wojew., Banasiak, Piwczyński & Reduron",Dicot,biennial,forb,59.71,23.34,16.95,C/CSR,1
Laserpitium siler subsp. laeve,(Halácsy) Hartvig,Dicot,perennial,forb,60.62,32.81,6.57,C/CS,1
Lathyrus gorgoni,Parl.,Dicot,annual,herbaceous vine,20.4,42.18,37.42,SR/CSR,1
Lathyrus heterophyllus,L.,Dicot,perennial,forb,53.98,19.13,26.89,C/CSR,1
Lathyrus hirsutus,L.,Dicot,annual,forb,23.21,25.27,51.53,R/CSR,1
Lathyrus nissolia  subsp. nissolia,"",Dicot,annual,forb,37.2,23.19,39.61,CR/CSR,1
Lathyrus odoratus,L.,Dicot,annual,herbaceous vine,38.27,19.71,42.02,CR/CSR,1
Lathyrus palustris,L.,Dicot,perennial,herbaceous vine,44.15,1.11,54.74,CR,1
Lathyrus pratensis,L.,Dicot,perennial,forb,17.75,49.14,33.11,SR/CSR,1
Lathyrus sylvestris,L.,Dicot,perennial,forb,41.25,22.03,36.72,CR/CSR,1
Lathyrus tuberosus,L.,Dicot,perennial,herbaceous vine,15.08,21.51,63.41,R/CSR,1
Lathyrus vernus,(L.) Bernh.,Dicot,perennial,forb,40.34,0,59.66,CR,1
Laurus nobilis,L.,Dicot,perennial,tree,31.21,68.79,0,S/CS,1
Lavandula angustifolia,Mill.,Dicot,perennial,shrub,5.55,0,94.45,R,1
Lavandula latifolia,Medik.,Dicot,perennial,shrub,16.38,0,83.62,R/CR,1
Lavandula stoechas,L.,Dicot,perennial,tree,43,57,0,CS,1
Microlicia congestiflora,Versiane & R.Romero,Dicot,perennial,shrub,11.07,85.36,3.57,S,7
Miconia sulcicaulis,(Poepp. ex Naudin) Ocampo & Almeda,Dicot,perennial,shrub,47.76,16.24,35.99,CR/CSR,7
Lecythis pisonis,Cambess.,Dicot,perennial,tree,46.83,53.17,0,CS,7
Rhododendron groenlandicum,(Oeder) Kron & Judd,Dicot,perennial,shrub,7.98,78.52,13.5,S/SR,2
Legousia hybrida,Delarbre,Dicot,annual,forb,0,0,100,R,1
Legousia speculum-veneris,(L.) Chaix,Dicot,perennial,forb,6.45,0,93.55,R,1
Leiothrix crassifolia,Ruhland,Monocot,perennial,forb,11.72,54.01,34.27,SR/CSR,7
Cytisus nigricans,L.,Dicot,perennial,shrub,10.87,55.66,33.47,S/CSR,1
Lemna gibba,L.,Monocot,perennial,aquatic,0,0,100,R,1
Lemna minor,L.,Monocot,perennial,aquatic,0,0,100,R,1
Lemna trisulca,L.,Monocot,perennial,aquatic,0,0,100,R,1
Scorzoneroides autumnalis,(L.) Moench,Dicot,perennial,forb,16.97,42.24,40.79,SR/CSR,1
Leontodon hispidus,L.,Dicot,perennial,forb,45.93,0,54.07,CR,1
Leontodon incanus,Schrank,Dicot,perennial,forb,41.02,23.35,35.63,CR/CSR,1
Scorzoneroides montana  subsp. montana,"",Dicot,perennial,forb,41.59,13.15,45.26,CR/CSR,1
Scorzoneroides pyrenaica  subsp. pyrenaica,"",Dicot,perennial,forb,32.77,0,67.23,R/CR,1
Leontodon taraxacoides,Hoppe & Hornsch.,Dicot,perennial,forb,30.65,6.66,62.68,R/CR,1
Chaiturus marrubiastrum,(L.) Ehrh. ex Rchb.,Dicot,biennial,forb,38.27,28.2,33.53,CSR,1
Leopoldia comosa,(L.) Parl.,Monocot,perennial,forb,67.2,0,32.8,C/CR,1
Lepidium campestre,(L.) W.T.Aiton,Dicot,biennial,forb,25.49,22.89,51.62,R/CSR,1
Lepidium densiflorum,Schrad.,Dicot,biennial,forb,11.39,0,88.61,R,1
Lepidium latifolium,L.,Dicot,perennial,forb,64.71,1.72,33.57,C/CR,1
Lepidium ruderale,L.,Dicot,biennial,forb,11.92,0,88.08,R,1
Lepidium sativum,L.,Dicot,annual,forb,32.68,0,67.32,R/CR,1
Lepidium virginicum,L.,Dicot,perennial,forb,9.18,29.33,61.49,R/SR,4
Lepisanthes senegalensis,(Poir.) Leenh.,Dicot,perennial,tree,59.77,40.01,0.22,CS,8
Lepisanthes tetraphylla,Radlk.,Dicot,perennial,tree,59.05,36.43,4.52,CS,9
Lespedeza capitata,Michx.,Dicot,perennial,forb,16.53,63.29,20.18,S/CSR,4
Lespedeza cuneata,(Dum.Cours.) G.Don,Dicot,perennial,shrub,2.94,64.34,32.73,S/SR,1
Lessingianthus psilophyllus,(DC.) H.Rob.,Dicot,perennial,shrub,6.1,93.9,0,S,7
Leucanthemopsis alpina,(L.) Heywood,Dicot,perennial,forb,5.24,0,94.76,R,1
Leucanthemum heterophyllum,DC.,Dicot,perennial,forb,38.37,0,61.63,CR,1
Leucanthemum ircutianum,DC.,Dicot,perennial,forb,45.44,15.4,39.16,CR/CSR,1
Leucanthemum eliasii,"(Sennen & Pau) Vogt, Konowalik & Oberpr.",Dicot,perennial,forb,20.85,0,79.15,R/CR,1
Leucojum aestivum,L.,Monocot,perennial,forb,66.62,0,33.38,C/CR,1
Leucojum vernum  var. vernum,"",Monocot,perennial,forb,47.73,0,52.27,CR,1
Liatris aspera,Michx.,Dicot,perennial,forb,20.32,45.01,34.67,SR/CSR,4
Liatris cylindracea,Michx.,Dicot,perennial,forb,13.9,71.73,14.37,S/SR,4
Liatris pycnostachya,Michx.,Dicot,perennial,forb,39.15,60.85,0,CS,4
Liatris squarrosa,(L.) Michx.,Dicot,perennial,forb,11.93,73.94,14.13,S/SR,4
Liatris squarrulosa,Michx.,Dicot,perennial,forb,15.26,84.74,0,S,4
Licania hypoleuca,Benth.,Dicot,perennial,tree,25.53,61.12,13.35,S/CSR,7
Leptobalanus octandrus,(Hoffmanns. ex Schult.) Sothers & Prance,Dicot,perennial,tree,27.26,72.74,0,S/CS,7
Moquilea platypus,Hemsl.,Dicot,perennial,tree,48.16,43.02,8.82,CS,7
Ligularia sibirica,Cass.,Dicot,perennial,forb,53.14,20.25,26.61,C/CSR,1
Mutellina purpurea,"(Poir.) Reduron, Charpin & Pimenov",Dicot,perennial,forb,22.17,46.01,31.82,SR/CSR,1
Ligustrum lucidum,W.T.Aiton,Dicot,perennial,tree,42.73,57.27,0,CS,1
Ligustrum ovalifolium,Hassk.,Dicot,perennial,tree,31.97,53.48,14.55,S/CSR,1
Ligustrum sinense  var. sinense,"",Dicot,perennial,tree,19.94,63.9,16.16,S/CSR,1
Ligustrum vulgare f. nanum,Rehder,Dicot,perennial,shrub,11.76,77.07,11.17,S/CS,1
Lilium bulbiferum,L.,Monocot,perennial,forb,35.66,0,64.34,R/CR,1
Lilium martagon,L.,Monocot,perennial,forb,47.04,0,52.96,CR,1
Limonium vulgare,Mill.,Dicot,perennial,forb,73.89,20.04,6.08,C/CS,1
Linaria angustissima,(Loisel.) Borbás,Dicot,perennial,forb,20.72,53.43,25.85,S/CSR,1
Linaria dalmatica,(L.) Mill.,Dicot,perennial,forb,28.28,39.52,32.2,CSR,1
Linaria repens,(L.) Mill.,Dicot,annual,forb,17.69,0,82.31,R/CR,1
Linaria vulgaris,Mill.,Dicot,perennial,forb,15.87,21.53,62.6,R/CSR,1
Lindackeria laurina,C.Presl,Dicot,perennial,tree,59.22,34.62,6.16,CS,7
Lindernia dubia,(L.) Pennell,Dicot,biennial,forb,11.55,0,88.45,R,4
Linnaea borealis,L.,Dicot,perennial,forb,5.68,42.1,52.22,SR,1
Linum australe,A.Heller,Dicot,annual,forb,0,83.14,16.86,S/SR,4
Linum squamulosum  subsp. collinum,(Guss. ex Boiss.) Naum.-Svetl.,Dicot,perennial,forb,1.07,38.72,60.21,SR,1
Linum catharticum,L.,Dicot,perennial,forb,0.08,36.24,63.68,R/SR,2
Linum lewisii,Pursh,Dicot,perennial,shrub,0,81.63,18.37,S/SR,2
Linum medium,(Planch.) Britton,Dicot,perennial,forb,0,0,100,R,4
Linum komarovii  subsp. boreale,(Juz.) T.V.Egorova,Dicot,perennial,shrub,1.17,21.24,77.59,R/SR,1
Linum suffruticosum,L.,Dicot,perennial,shrub,0,59.6,40.4,SR,1
Linum salsoloides,Lam.,Dicot,perennial,forb,0.29,65.92,33.79,S/SR,1
Linum usitatissimum,L.,Dicot,annual,forb,1.92,12.87,85.2,R,1
Liparis loeselii,(L.) Rich.,Monocot,perennial,forb,30.43,0,69.57,R/CR,1
Neottia cordata,(L.) Rich.,Monocot,perennial,forb,15.03,0,84.97,R,1
Neottia ovata,Bluff & Fingerh.,Monocot,perennial,forb,52.78,0,47.22,CR,1
Lithocarpus curtisii,(King) A.Camus,Dicot,perennial,tree,63.54,36.46,0,C/CS,9
Buglossoides arvensis,(L.) I.M.Johnst.,Dicot,annual,forb,15.8,8.78,75.42,R/CR,1
Lithospermum multiflorum,Torr. ex A.Gray,Dicot,perennial,forb,13.89,65.91,20.2,S/SR,4
Lithraea molleoides,(Vell.) Engl.,Dicot,perennial,tree,22.82,77.18,0,S/CS,7
Litsea johorensis,Gamble,Dicot,perennial,tree,41.81,51.85,6.34,CS,9
Gagea serotina,(L.) Ker Gawl.,Monocot,perennial,forb,34.68,0,65.32,R/CR,1
Lobelia inflata,L.,Dicot,perennial,forb,11.52,45.83,42.65,SR/CSR,4
Lobelia spicata,Lam.,Dicot,perennial,forb,4.36,65.27,30.37,S/SR,4
Filago arvensis,L.,Dicot,annual,forb,4,29.99,66.01,R/SR,1
Logfia minima,Dumort.,Dicot,annual,forb,0,59.27,40.73,SR,1
Lolium perenne,L.,Monocot,perennial,graminoid,21.68,0,78.32,R/CR,1
Lolium remotum,Schrank,Monocot,annual,graminoid,43.54,2.64,53.82,CR,6
Lolium rigidum,Gaudin,Monocot,annual,graminoid,8.71,44.96,46.33,SR,1
Lolium temulentum,L.,Monocot,annual,graminoid,32.91,27.42,39.67,CSR,1
Lomelosia argentea,(L.) Greuter & Burdet,Dicot,perennial,forb,7.87,92.13,0,S,1
Lomelosia graminifolia,(L.) Greuter & Burdet,Dicot,perennial,forb,29.69,30.62,39.69,CSR,1
Lonchocarpus heptaphyllus,(Poir.) DC.,Dicot,perennial,tree,66.65,24.27,9.07,C/CS,7
Lonicera alpigena,L.,Dicot,perennial,tree,42.91,23.78,33.31,CR/CSR,1
Lonicera caerulea,L.,Dicot,perennial,tree,18.29,49.36,32.35,S/CSR,1
Lonicera caprifolium,L.,Dicot,perennial,liana,31.67,43.03,25.3,CSR,1
Lonicera implexa,Aiton,Dicot,perennial,liana,20.74,79.26,0,S/CS,1
Lonicera japonica,Thunb.,Dicot,perennial,liana,34.03,51.31,14.66,CS/CSR,1
Lonicera nigra,L.,Dicot,perennial,tree,19.31,57.39,23.3,S/CSR,1
Lonicera periclymenum,L.,Dicot,perennial,liana,12.7,72.82,14.48,S/SR,1
Lonicera xylosteum,L.,Dicot,perennial,tree,34.03,51.31,14.66,CS/CSR,1
Lotus alpinus,(DC.) Ramond,Dicot,perennial,forb,4.05,44.84,51.11,SR,1
Lotus corniculatus,L.,Dicot,perennial,forb,14.21,18.98,66.81,R/SR,1
Lotus pedunculatus  subsp. pedunculatus,"",Dicot,perennial,forb,23.83,48.31,27.86,S/CSR,1
Lotus tenuis,Waldst. & Kit.,Dicot,perennial,forb,24.62,0,75.38,R/CR,1
Acmispon wrightii,(A.Gray) Brouillet,Dicot,perennial,forb,18.62,9.76,71.62,R/CR,4
Lozania pittieri,(S.F.Blake) L.B.Sm.,Dicot,perennial,tree,43.82,24.2,31.98,CR/CSR,7
Ludwigia palustris,Elliott,Dicot,perennial,forb,13.02,23.95,63.03,R/SR,1
Luehea seemannii,Triana & Planch.,Dicot,perennial,tree,42.04,48.07,9.89,CS,7
Lunaria annua  subsp. pachyrrhiza,(Borbás) Hayek,Dicot,biennial,forb,59.39,0,40.61,CR,1
Lunaria rediviva,L.,Dicot,perennial,forb,61.45,0,38.55,CR,1
Lupinus albus  subsp. albus,"",Dicot,annual,forb,69.1,0,30.9,C/CR,1
Lupinus argenteus  var. fulvomaculatus,(Payson) Barneby,Dicot,perennial,shrub,60.41,0,39.59,CR,4
Lupinus kingii,S.Watson,Dicot,annual,forb,31.2,0,68.8,R/CR,4
Lupinus luteus,L.,Dicot,annual,forb,58.48,0,41.52,CR,1
Lupinus perennis  subsp. perennis,"",Dicot,perennial,forb,59.12,0,40.88,CR,4
Lupinus polyphyllus,Lindl.,Dicot,perennial,forb,67.42,6.08,26.5,C/CR,2
Luronium natans,Raf.,Monocot,perennial,aquatic,13.65,0,86.35,R,1
Luzula alpinopilosa,(Chaix) Breistr.,Monocot,perennial,graminoid,20.95,10.53,68.53,R/CR,1
Luzula campestris,(L.) DC.,Monocot,perennial,graminoid,15.74,47.86,36.4,SR/CSR,1
Luzula forsteri,DC.,Monocot,perennial,graminoid,14.04,47.33,38.63,SR/CSR,1
Luzula lutea,DC.,Monocot,perennial,graminoid,13.29,71.77,14.94,S/SR,1
Luzula multiflora,(Ehrh.) Lej.,Monocot,perennial,graminoid,9.74,47.32,42.94,SR,1
Luzula nivea,(L.) DC.,Monocot,perennial,graminoid,19.26,40.21,40.53,SR/CSR,1
Luzula pilosa,(L.) Willd.,Monocot,perennial,graminoid,27.54,18.8,53.66,R/CSR,1
Luzula spicata,(L.) DC.,Monocot,perennial,graminoid,1.19,96.49,2.32,S,1
Luzula sudetica,(Willd.) Schult.,Monocot,perennial,graminoid,13.74,29.88,56.38,R/CSR,1
Luzula sylvatica,(Huds.) Gaudin,Monocot,perennial,graminoid,28.64,25.64,45.72,R/CSR,1
Lychnophora rupestris,Semir,Dicot,perennial,shrub,0.1,99.9,0,S,7
Lycium barbarum var. vulgare,Aiton,Dicot,perennial,shrub,57.45,0,42.55,CR,1
Lycopodiella inundata,(L.) Holub,Fern,perennial,forb,0,0,100,R,1
Lycopodium annotinum,L.,Fern,perennial,forb,0,64.11,35.89,S/SR,1
Lycopodium clavatum,L.,Fern,perennial,forb,0,68.75,31.25,S/SR,1
Lycopus americanus,Muhl. ex W.P.C.Barton,Dicot,perennial,forb,16.87,32.13,51,R/CSR,2
Lycopus australis,R.Br.,Dicot,perennial,forb,34.13,0,65.87,R/CR,1
Lysimachia nummularia,L.,Dicot,perennial,herbaceous vine,12.48,32.16,55.36,R/CSR,1
Lysimachia thyrsiflora,L.,Dicot,perennial,forb,32.49,15.19,52.31,R/CSR,1
Lysimachia vulgaris,L.,Dicot,perennial,forb,32.98,26.09,40.93,CSR,1
Lythrum hyssopifolia,L.,Dicot,biennial,forb,0,38.85,61.15,SR,1
Lythrum salicaria f. latius,Koehne,Dicot,perennial,shrub,15.88,65.97,18.14,S/SR,1
Macaranga lowii,King ex Hook.f.,Dicot,perennial,tree,64.52,35.48,0,C/CS,9
Dieteria canescens,(Pursh) Nutt.,Dicot,perennial,forb,9.51,81.61,8.88,S,4
Xanthisma gracile,(Nutt.) D.R.Morgan & R.L.Hartm.,Dicot,annual,forb,0,57.75,42.25,SR,4
Machaerium hirtum,(Vell.) Stellfeld,Dicot,perennial,tree,10.27,77.91,11.82,S/SR,7
Machaerium kegelii,Meisn.,Dicot,perennial,liana,64.61,35.39,0,C/CS,7
Machaerium seemannii,Benth. ex Seem.,Dicot,perennial,liana,37.74,45.95,16.31,CS/CSR,7
Maclura tinctoria,(L.) D.Don ex Steud.,Dicot,perennial,tree,37.8,41.09,21.11,CS/CSR,7
Macrocnemum roseum,Wedd.,Dicot,perennial,tree,58.82,20.89,20.29,C/CSR,7
Madhuca malaccensis,H.J.Lam,Dicot,perennial,tree,24.05,66.82,9.13,S/CS,9
Berberis aquifolium,Pursh,Dicot,perennial,tree,47.87,52.13,0,CS,4
Maianthemum bifolium,(L.) F.W.Schmidt,Monocot,perennial,forb,30.02,30.55,39.43,CSR,1
