validScientificName,family,order,superOrder,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,priority
Hypericum tetrapterum Fr.,Hypericaceae,Malpighiales,Rosanae,Dicot,perennial,forb,7.01,38.96,54.02,SR,1
Hypochaeris glabra L.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,15.39,0,84.61,R,1
Hypochoeris maculata L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,71.15,0,28.85,C/CR,1
Hypochoeris radicata L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,63.13,0,36.87,C/CR,1
Hyptis complicata A. St.-Hil. ex Benth.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,20.75,79.25,0,S/CS,7
Hyptis fruticosa Salzm. ex Benth.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,14.96,79.4,5.64,S/CS,7
Hyssopus officinalis L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,13.31,29.08,57.62,R/CSR,1
Iberis sempervirens L.,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,shrub,24.74,66.07,9.19,S/CS,1
Iberis umbellata L.,Brassicaceae,Brassicales,Rosanae,Dicot,annual,forb,23.94,0,76.06,R/CR,1
Ilex aquifolium L.,Aquifoliaceae,Aquifoliales,Asteranae,Dicot,perennial,tree,45.1,54.9,0,CS,1
Illecebrum verticillatum L.,Caryophyllaceae,Caryophyllales,Caryophyllanae,Dicot,annual,forb,0,0,100,R,1
Impatiens balfourii Hook. f.,Balsaminaceae,Ericales,Asteranae,Dicot,perennial,forb,46.86,0,53.14,CR,6
Impatiens capensis Meerb.,Balsaminaceae,Ericales,Asteranae,Dicot,annual,forb,31.49,21.81,46.7,R/CSR,2
Impatiens noli-tangere L.,Balsaminaceae,Ericales,Asteranae,Dicot,annual,forb,33.49,0,66.51,R/CR,1
Impatiens pallida Nutt.,Balsaminaceae,Ericales,Asteranae,Dicot,perennial,forb,11.93,56.59,31.48,S/CSR,4
Impatiens parviflora DC.,Balsaminaceae,Ericales,Asteranae,Dicot,annual,forb,38.86,0,61.14,CR,1
Indigofera arrecta Hochst. ex A. Rich.,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,28.7,37.98,33.32,CSR,8
Inga acuminata Benth.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,48.15,38.8,13.05,CS/CSR,7
Inga capitata Desv.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,42.07,46.65,11.28,CS/CSR,7
Inga cayennensis Sagot ex Benth.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,38.51,48.86,12.63,CS/CSR,7
Inga cocleensis Pittier,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,65.27,28.69,6.04,C/CS,7
Inga goldmanii Pittier,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,74.36,19.97,5.67,C/CS,7
Inga laurina (Sw.) Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,47.27,46.81,5.92,CS,7
Inga marginata Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,45.85,45.41,8.73,CS,7
Inga mucuna Walp. & Duchass.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,73.89,15.44,10.67,C/CS,7
Inga nobilis Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,60.57,33.57,5.86,C/CS,7
Inga pezizifera Benth.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,59.64,29.98,10.38,C/CSR,7
Inga punctata Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,58.73,37.08,4.19,CS,7
Inga ruiziana G. Don,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,73.79,21.99,4.22,C/CS,7
Inga sapindoides Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,66.32,25.71,7.98,C/CS,7
Inga spectabilis (Vahl) Willd.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,73.58,23.12,3.3,C/CS,7
Inga thibaudiana DC.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,58.15,34.09,7.76,CS,7
Inga umbellifera (Vahl) Steud.,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,55.58,35.56,8.85,CS,7
Inula britannica L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,50.06,0,49.94,CR,1
Inula helenium L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,84.09,9.25,6.66,C,1
Inula hirta L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,18.17,64.97,16.86,S/CSR,1
Inula salicina L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,21.85,33.49,44.65,SR/CSR,1
Ipomopsis aggregata (Pursh) V.E. Grant,Polemoniaceae,Ericales,Asteranae,Dicot,perennial,forb,45.35,0,54.65,CR,4
Ipomopsis multiflora (Nutt.) V.E. Grant,Polemoniaceae,Ericales,Asteranae,Dicot,perennial,shrub,5.36,34.98,59.66,SR,4
Iris foetidissima L.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,60.73,37.78,1.49,CS,1
Iris graminea L.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,54.65,33.38,11.97,C/CSR,1
Iris missouriensis Nutt.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,48.9,51.1,0,CS,4
Iris pseudacorus L.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,81.9,4.25,13.85,C,1
Iris sibirica L.,Iridaceae,Asparagales,Lilianae,Monocot,perennial,forb,36.5,38.49,25.01,CSR,1
Isatis tinctoria L.,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,forb,57.83,0,42.17,CR,1
Ischaemum afrum (J.F. Gmel.) Dandy,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,14.91,76.86,8.23,S/CS,8
Isopyrum biternatum (Raf.) Torr. & A. Gray,Ranunculaceae,Ranunculales,Ranunculanae,Dicot,perennial,forb,18.23,9.97,71.8,R/CR,4
Iva xanthiifolia Nutt.,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,71.29,0.22,28.49,C/CR,4
Ixonanthes icosandra W.D.Jacks.,Ixonanthaceae,Malpighiales,Rosanae,Dicot,perennial,tree,22.86,75.12,2.02,S/CS,9
Ixora lobbii Loudon,Rubiaceae,Gentianales,Asteranae,Dicot,perennial,shrub,43.77,56.23,0,CS,9
Jacaranda copaia (Aubl.) D. Don,Bignoniaceae,Lamiales,Asteranae,Dicot,perennial,tree,75.38,20.59,4.03,C/CS,7
Jacaranda racemosa Cham.,Bignoniaceae,Lamiales,Asteranae,Dicot,perennial,shrub,23.61,72.14,4.24,S/CS,7
Jasione montana L.,Campanulaceae,Asterales,Asteranae,Dicot,perennial,forb,0,49.45,50.55,SR,1
Juglans regia L.,Juglandaceae,Fagales,Rosanae,Dicot,perennial,tree,73.16,21.45,5.4,C/CS,1
Juncus alpinoarticulatus Chaix,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,6.32,31.03,62.66,R/SR,1
Juncus alpinus Vill.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,4.9,68.1,27,S/SR,1
Juncus articulatus L.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,15.8,64.95,19.25,S/CSR,1
Juncus atratus Krock.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,33.81,58.66,7.53,CS,1
Juncus biglumis L.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,0,67.44,32.56,S/SR,1
Juncus bulbosus L.,Juncaceae,Poales,Lilianae,Monocot,perennial,aquatic,5.27,50.16,44.58,SR,1
Juncus castaneus Sm.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,13.42,61.19,25.39,S/CSR,1
Juncus conglomeratus L.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,19.93,80.07,0,S/CS,1
Juncus effusus L.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,38.48,61.52,0,CS,1
Juncus filiformis L.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,23.03,76.8,0.18,S/CS,1
Juncus gerardi Loisel.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,9.38,67.98,22.63,S/SR,1
Juncus inflexus L.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,32.56,67.44,0,S/CS,1
Juncus jacquinii L.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,12.39,87.61,0,S,1
Juncus maritimus Lam.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,25.91,74.09,0,S/CS,1
Juncus minutulus (Albert & Jahand.) Prain,Juncaceae,Poales,Lilianae,Monocot,annual,graminoid,0,55.5,44.5,SR,1
Juncus ranarius Nees,Juncaceae,Poales,Lilianae,Monocot,annual,graminoid,0,25.94,74.06,R/SR,1
Juncus sphaerocarpus Nees,Juncaceae,Poales,Lilianae,Monocot,annual,graminoid,0.14,59.7,40.16,SR,1
Juncus squarrosus L.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,3.88,96.12,0,S,1
Juncus subnodulosus Schrank,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,71.54,28.46,0,C/CS,1
Juncus tenageia Ehrh. ex L. f.,Juncaceae,Poales,Lilianae,Monocot,annual,aquatic,2.02,0,97.98,R,1
Juncus tenuis Willd.,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,6.68,65.77,27.55,S/SR,2
Juncus trifidus L. trifidus,Juncaceae,Poales,Lilianae,Monocot,perennial,graminoid,5.78,94.22,0,S,1
Juniperus communis L.,Cupressaceae,Cupressales,,Gymnosperm,perennial,shrub,0,86.61,13.39,S,1
Juniperus oxycedrus L. oxycedrus,Cupressaceae,Cupressales,,Gymnosperm,perennial,tree,1.29,85.51,13.21,S,1
Juniperus virginiana L.,Cupressaceae,Cupressales,,Gymnosperm,perennial,tree,4.92,95.08,0,S,4
Jurinea cyanoides Rchb.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,45.12,54.88,0,CS,1
Justicia graciliflora (Standl.) D.N. Gibson,Acanthaceae,Lamiales,Asteranae,Dicot,perennial,liana,47.73,20.15,32.12,C/CSR,7
Kalmia angustifolia L.,Ericaceae,Ericales,Asteranae,Dicot,perennial,shrub,10.02,89.98,0,S,2
"Kalmia procumbens (L.) Gift, Kron, & Stevens ex Galasso, Banfi & F. Conti",Ericaceae,Ericales,Asteranae,Dicot,perennial,shrub,0,100,0,S,1
Kemulariella caucasica Tamansch.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,25.67,28.26,46.07,R/CSR,1
Kernera saxatilis (L.) Rchb. saxatilis (L.) R. Sweet,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,forb,0.51,0,99.49,R,1
Kerria japonica (L.) DC.,Rosaceae,Rosales,Rosanae,Dicot,perennial,shrub,27.87,39.08,33.05,CSR,1
Kickxia spuria (L.) Dumort.,Plantaginaceae,Lamiales,Asteranae,Dicot,annual,forb,34,7.6,58.4,CR,1
Knautia arvensis (L.) Coult.,Caprifoliaceae,Dipsacales,Asteranae,Dicot,perennial,forb,70.27,5.66,24.07,C/CR,1
Knautia drymeia Heuff.,Caprifoliaceae,Dipsacales,Asteranae,Dicot,perennial,forb,57.1,0,42.9,CR,1
Knautia transalpina (Christ) Dalla Torre,Caprifoliaceae,Dipsacales,Asteranae,Dicot,perennial,forb,67.08,8.6,24.31,C/CR,1
Knautia velutina Briq.,Caprifoliaceae,Dipsacales,Asteranae,Dicot,perennial,forb,68.98,0,31.02,C/CR,1
Knema furfuracea (Hook. f. & Thomson) Warb.,Myristicaceae,Magnoliales,Magnolianae,Dicot,perennial,tree,47.16,46.17,6.67,CS,9
Knema laurina Warb. ,Myristicaceae,Magnoliales,Magnolianae,Dicot,perennial,tree,36.59,63.41,0,S/CS,9
Knema patentinervia (J.Sinclair) W.J.de Wilde,Myristicaceae,Magnoliales,Magnolianae,Dicot,perennial,tree,66.18,33.82,0,C/CS,9
Knema scortechinii J. Sincl.,Myristicaceae,Magnoliales,Magnolianae,Dicot,perennial,tree,38.85,52.86,8.29,CS,9
Kobresia myosuroides (Vill.) Fiori,Cyperaceae,Poales,Lilianae,Monocot,perennial,graminoid,5.09,94.91,0,S,1
Koeleria cristata (L.) Roem. & Schult.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,26.49,53.18,20.33,S/CSR,1
Koeleria glauca (Spreng.) DC.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,8.17,78.9,12.93,S/SR,1
Koeleria macrantha (Ledeb.) Schult.,Poaceae,Poales,Lilianae,Monocot,perennial,graminoid,14.21,72.85,12.95,S/CS,1
Laburnum alpinum (Mill.) Bercht. & J. Presl,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,41.08,40.05,18.87,CS/CSR,1
Laburnum anagyroides Medik. anagyroides,Fabaceae,Fabales,Rosanae,Dicot,perennial,tree,42.03,28.41,29.56,CSR,1
Lacistema aggregatum (P.J. Bergius) Rusby,Lacistemataceae,Malpighiales,Rosanae,Dicot,perennial,tree,42.53,32.3,25.17,CSR,7
Lacmellea panamensis (Woodson) Markgr.,Apocynaceae,Gentianales,Asteranae,Dicot,perennial,tree,33.43,49.34,17.23,CS/CSR,7
Lactuca alpina (L.) A. Gray,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,68.58,0,31.42,C/CR,1
Lactuca canadensis L.,Asteraceae,Asterales,Asteranae,Dicot,biennial,forb,43.48,12.6,43.92,CR/CSR,4
Lactuca perennis L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,55.15,0,44.85,CR,1
Lactuca serriola L.,Asteraceae,Asterales,Asteranae,Dicot,biennial,forb,57.86,9.36,32.78,C/CSR,1
Lactuca tatarica (L.) C.A. Mey.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,52.54,0,47.46,CR,1
Lactuca virosa L.,Asteraceae,Asterales,Asteranae,Dicot,biennial,forb,65.23,3.17,31.6,C/CR,1
Laennecia schiedeana (Less.) G.L. Nesom,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,21.15,5.45,73.4,R/CR,4
Laetia procera (Poepp.) Eichler,Salicaceae,Malpighiales,Rosanae,Dicot,perennial,tree,40.46,47.49,12.05,CS/CSR,7
Laetia thamnia L.,Salicaceae,Malpighiales,Rosanae,Dicot,perennial,tree,33.36,49.96,16.69,CS/CSR,7
Lafoensia punicifolia DC.,Lythraceae,Myrtales,Rosanae,Dicot,perennial,tree,26.64,69.63,3.73,S/CS,7
Lagenocarpus alboniger (A.St.-Hil.) C.B.Clarke,Cyperaceae,Poales,Lilianae,Monocot,perennial,graminoid,17.56,82.44,0,S/CS,7
Lagenocarpus tenuifolius (Boeck.) C.B.Clarke,Cyperaceae,Poales,Lilianae,Monocot,perennial,graminoid,12.15,87.85,0,S,7
Lagenocarpus velutinus Nees,Cyperaceae,Poales,Lilianae,Monocot,perennial,graminoid,24.43,75.57,0,S/CS,7
Lagurus ovatus L.,Poaceae,Poales,Lilianae,Monocot,annual,graminoid,14.58,16.73,68.69,R/SR,1
Lamiastrum galeobdolon (L.) Ehrend. & Polatschek,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,28.54,37.36,34.1,CSR,1
Lamium album L. album,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,29.26,9.75,60.99,R/CR,1
Lamium amplexicaule L.,Lamiaceae,Lamiales,Asteranae,Dicot,biennial,forb,8.95,0,91.05,R,1
Lamium galeobdolon L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,40,0,60,CR,1
Lamium maculatum L.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,forb,19.98,33.23,46.79,SR/CSR,1
Lamium purpureum L.,Lamiaceae,Lamiales,Asteranae,Dicot,annual,forb,22.34,19.71,57.94,R/CSR,1
Lansium domesticum Corrêa,Meliaceae,Sapindales,Rosanae,Dicot,perennial,tree,47.82,52.18,0,CS,9
Lantana camara L.,Verbenaceae,Lamiales,Asteranae,Dicot,perennial,shrub,34.54,46.42,19.04,CS/CSR,7
Laphangium luteoalbum (L.) Tzvelev,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,9.66,0,90.34,R,1
Lappula deflexa (Wahlenb.) Caruel,Boraginaceae,Boraginales,Asteranae,Dicot,perennial,forb,51.34,0,48.66,CR,1
Lappula squarrosa (Retz.) Dumort.,Boraginaceae,Boraginales,Asteranae,Dicot,biennial,forb,28.42,0,71.58,R/CR,1
Lapsana communis L. communis,Asteraceae,Asterales,Asteranae,Dicot,annual,forb,48.17,1.59,50.24,CR,1
Larix decidua Mill.,Pinaceae,Pinales,,Gymnosperm,perennial,tree,0,99.16,0.84,S,1
Larrea divaricata Cav.,Zygophyllaceae,Zygophyllales,Rosanae,Dicot,perennial,shrub,1.02,98.98,0,S,4
Laserpitium halleri Crantz halleri,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,70.21,24.79,5,C/CS,1
Laserpitium latifolium L.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,81.73,6.22,12.05,C,1
Laserpitium nitidum Zanted.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,61,25.33,13.67,C/CSR,1
Laserpitium prutenicum L.,Apiaceae,Apiales,Asteranae,Dicot,biennial,forb,59.71,23.34,16.95,C/CSR,1
Laserpitium siler L.,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,60.62,32.81,6.57,C/CS,1
Lathyrus cicera L.,Fabaceae,Fabales,Rosanae,Dicot,annual,herbaceous vine,20.4,42.18,37.42,SR/CSR,1
Lathyrus heterophyllus L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,53.98,19.13,26.89,C/CSR,1
Lathyrus hirsutus L.,Fabaceae,Fabales,Rosanae,Dicot,annual,forb,23.21,25.27,51.53,R/CSR,1
Lathyrus nissolia L.,Fabaceae,Fabales,Rosanae,Dicot,annual,forb,37.2,23.19,39.61,CR/CSR,1
Lathyrus odoratus L.,Fabaceae,Fabales,Rosanae,Dicot,annual,herbaceous vine,38.27,19.71,42.02,CR/CSR,1
Lathyrus palustris L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,herbaceous vine,44.15,1.11,54.74,CR,1
Lathyrus pratensis L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,17.75,49.14,33.11,SR/CSR,1
Lathyrus sylvestris L. sylvestris,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,41.25,22.03,36.72,CR/CSR,1
Lathyrus tuberosus L.,Fabaceae,Fabales,Rosanae,Dicot,perennial,herbaceous vine,15.08,21.51,63.41,R/CSR,1
Lathyrus vernus (L.) Bernh.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,40.34,0,59.66,CR,1
Laurus nobilis L.,Lauraceae,Laurales,Magnolianae,Dicot,perennial,tree,31.21,68.79,0,S/CS,1
Lavandula angustifolia Mill.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,5.55,0,94.45,R,1
Lavandula latifolia Medik.,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,shrub,16.38,0,83.62,R/CR,1
Lavandula stoechas L. stoechas,Lamiaceae,Lamiales,Asteranae,Dicot,perennial,tree,43,57,0,CS,1
Lavoisiera confertiflora Naudin,Melastomataceae,Myrtales,Rosanae,Dicot,perennial,shrub,11.07,85.36,3.57,S,7
Leandra dichotoma (Pav. ex D. Don) Cogn.,Melastomataceae,Myrtales,Rosanae,Dicot,perennial,shrub,47.76,16.24,35.99,CR/CSR,7
Lecythis pisonis Cambess.,Lecythidaceae,Ericales,Asteranae,Dicot,perennial,tree,46.83,53.17,0,CS,7
Ledum groenlandicum Oeder,Ericaceae,Ericales,Asteranae,Dicot,perennial,shrub,7.98,78.52,13.5,S/SR,2
Legousia hybrida (L.) Delarbre,Campanulaceae,Asterales,Asteranae,Dicot,annual,forb,0,0,100,R,1
Legousia speculum-veneris (L.) Chaix,Campanulaceae,Asterales,Asteranae,Dicot,perennial,forb,6.45,0,93.55,R,1
Leiothrix crassifolia (Bong.) Ruhland,Eriocaulaceae,Poales,Lilianae,Monocot,perennial,forb,11.72,54.01,34.27,SR/CSR,7
Lembotropis nigricans (L.) Griseb.,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,10.87,55.66,33.47,S/CSR,1
Lemna gibba L.,Araceae,Alismatales,Lilianae,Monocot,perennial,aquatic,0,0,100,R,1
Lemna minor L.,Araceae,Alismatales,Lilianae,Monocot,perennial,aquatic,0,0,100,R,1
Lemna trisulca L.,Araceae,Alismatales,Lilianae,Monocot,perennial,aquatic,0,0,100,R,1
Leontodon autumnalis L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,16.97,42.24,40.79,SR/CSR,1
Leontodon hispidus L.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,45.93,0,54.07,CR,1
Leontodon incanus (L.) Schrank tenuiflorus (Gaudin) Hegi,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,41.02,23.35,35.63,CR/CSR,1
Leontodon montanus Lam. melanotrichus (Vierh.) Widder ex Pittoni,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,41.59,13.15,45.26,CR/CSR,1
Leontodon pyrenaicus Gouan,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,32.77,0,67.23,R/CR,1
Leontodon taraxacoides Hoppe & Hornsch.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,30.65,6.66,62.68,R/CR,1
Leonurus marrubiastrum L.,Lamiaceae,Lamiales,Asteranae,Dicot,biennial,forb,38.27,28.2,33.53,CSR,1
Leopoldia comosa (L.) Parl.,Asparagaceae,Asparagales,Lilianae,Monocot,perennial,forb,67.2,0,32.8,C/CR,1
Lepidium campestre (L.) W.T. Aiton,Brassicaceae,Brassicales,Rosanae,Dicot,biennial,forb,25.49,22.89,51.62,R/CSR,1
Lepidium densiflorum Schrad.,Brassicaceae,Brassicales,Rosanae,Dicot,biennial,forb,11.39,0,88.61,R,1
Lepidium latifolium L.,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,forb,64.71,1.72,33.57,C/CR,1
Lepidium ruderale L.,Brassicaceae,Brassicales,Rosanae,Dicot,biennial,forb,11.92,0,88.08,R,1
Lepidium sativum L.,Brassicaceae,Brassicales,Rosanae,Dicot,annual,forb,32.68,0,67.32,R/CR,1
Lepidium virginicum L.,Brassicaceae,Brassicales,Rosanae,Dicot,perennial,forb,9.18,29.33,61.49,R/SR,4
Lepisanthes senegalensis (Juss. ex Poir.) Leenh.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,59.77,40.01,0.22,CS,8
Lepisanthes tetraphylla Radlk.,Sapindaceae,Sapindales,Rosanae,Dicot,perennial,tree,59.05,36.43,4.52,CS,9
Lespedeza capitata Michx.,Fabaceae,Fabales,Rosanae,Dicot,perennial,forb,16.53,63.29,20.18,S/CSR,4
Lespedeza cuneata (Dum. Cours.) G. Don,Fabaceae,Fabales,Rosanae,Dicot,perennial,shrub,2.94,64.34,32.73,S/SR,1
Lessingianthus psilophyllus (DC.) H. Rob.,Asteraceae,Asterales,Asteranae,Dicot,perennial,shrub,6.1,93.9,0,S,7
Leucanthemopsis alpina (L.) Heywood,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,5.24,0,94.76,R,1
Leucanthemum heterophyllum (Willd.) DC.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,38.37,0,61.63,CR,1
Leucanthemum ircutianum Turcz. ex DC. ircutianum,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,45.44,15.4,39.16,CR/CSR,1
Leucanthemum vulgare Lam.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,20.85,0,79.15,R/CR,1
Leucojum aestivum L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,perennial,forb,66.62,0,33.38,C/CR,1
Leucojum vernum L.,Amaryllidaceae,Asparagales,Lilianae,Monocot,perennial,forb,47.73,0,52.27,CR,1
Liatris aspera Michx.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,20.32,45.01,34.67,SR/CSR,4
Liatris cylindracea Michx.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,13.9,71.73,14.37,S/SR,4
Liatris pycnostachya Michx.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,39.15,60.85,0,CS,4
Liatris squarrosa (L.) Michx.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,11.93,73.94,14.13,S/SR,4
Liatris squarrulosa Michx.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,15.26,84.74,0,S,4
Licania hypoleuca Benth.,Chrysobalanaceae,Malpighiales,Rosanae,Dicot,perennial,tree,25.53,61.12,13.35,S/CSR,7
Licania octandra (Hoffmanns. ex Roem. & Schult.) Kuntze,Chrysobalanaceae,Malpighiales,Rosanae,Dicot,perennial,tree,27.26,72.74,0,S/CS,7
Licania platypus (Hemsl.) Fritsch,Chrysobalanaceae,Malpighiales,Rosanae,Dicot,perennial,tree,48.16,43.02,8.82,CS,7
Ligularia sibirica (L.) Cass.,Asteraceae,Asterales,Asteranae,Dicot,perennial,forb,53.14,20.25,26.61,C/CSR,1
Ligusticum mutellina (L.) Crantz,Apiaceae,Apiales,Asteranae,Dicot,perennial,forb,22.17,46.01,31.82,SR/CSR,1
Ligustrum lucidum Aiton,Oleaceae,Lamiales,Asteranae,Dicot,perennial,tree,42.73,57.27,0,CS,1
Ligustrum ovalifolium Hassk.,Oleaceae,Lamiales,Asteranae,Dicot,perennial,tree,31.97,53.48,14.55,S/CSR,1
Ligustrum sinense Lour.,Oleaceae,Lamiales,Asteranae,Dicot,perennial,tree,19.94,63.9,16.16,S/CSR,1
Ligustrum vulgare L.,Oleaceae,Lamiales,Asteranae,Dicot,perennial,shrub,11.76,77.07,11.17,S/CS,1
Lilium bulbiferum L. croceum (Chaix) Jan,Liliaceae,Liliales,Lilianae,Monocot,perennial,forb,35.66,0,64.34,R/CR,1
Lilium martagon L.,Liliaceae,Liliales,Lilianae,Monocot,perennial,forb,47.04,0,52.96,CR,1
Limonium vulgare Mill.,Plumbaginaceae,Caryophyllales,Caryophyllanae,Dicot,perennial,forb,73.89,20.04,6.08,C/CS,1
Linaria angustissima (Loisel.) Borbás,Plantaginaceae,Lamiales,Asteranae,Dicot,perennial,forb,20.72,53.43,25.85,S/CSR,1
Linaria dalmatica (L.) Mill.,Plantaginaceae,Lamiales,Asteranae,Dicot,perennial,forb,28.28,39.52,32.2,CSR,1
Linaria repens (L.) Mill.,Plantaginaceae,Lamiales,Asteranae,Dicot,annual,forb,17.69,0,82.31,R/CR,1
Linaria vulgaris Mill.,Plantaginaceae,Lamiales,Asteranae,Dicot,perennial,forb,15.87,21.53,62.6,R/CSR,1
Lindackeria laurina C. Presl,Achariaceae,Malpighiales,Rosanae,Dicot,perennial,tree,59.22,34.62,6.16,CS,7
Lindernia dubia (L.) Pennell,Linderniaceae,Lamiales,Asteranae,Dicot,biennial,forb,11.55,0,88.45,R,4
Linnaea borealis L.,Caprifoliaceae,Dipsacales,Asteranae,Dicot,perennial,forb,5.68,42.1,52.22,SR,1
Linum australe A. Heller,Linaceae,Malpighiales,Rosanae,Dicot,annual,forb,0,83.14,16.86,S/SR,4
Linum austriacum L.,Linaceae,Malpighiales,Rosanae,Dicot,perennial,forb,1.07,38.72,60.21,SR,1
Linum catharticum L.,Linaceae,Malpighiales,Rosanae,Dicot,perennial,forb,0.08,36.24,63.68,R/SR,2
Linum lewisii Pursh,Linaceae,Malpighiales,Rosanae,Dicot,perennial,shrub,0,81.63,18.37,S/SR,2
