,,LIGHT,TEMPERATURE,MOISTURE,REACTION,NUTRIENTS,SALINITY
3860,Gentianella crispata,9.0,3.0,3.0,7.0,1.0,0.0
3861,Gentianella engadinensis,9.0,2.5,4.0,7.0,2.0,0.0
3862,Gentianella fatrae,8.3,3.8,4.0,7.2,2.4,0.0
3863,Gentianella germanica,7.0,4.8,4.3,7.0,3.0,0.0
3864,Gentianella liburnica,NA,2.0,NA,NA,NA,NA
3865,Gentianella lutescens,7.0,4.3,4.0,6.0,2.5,0.0
3866,Gentianella nana,8.0,1.3,5.5,7.0,3.5,0.0
3867,Gentianella obtusifolia,8.0,5.0,5.0,6.0,3.0,0.0
3868,Gentianella pilosa,7.0,4.0,5.0,5.0,3.0,0.0
3869,Gentianella praecox,8.0,4.5,4.0,5.0,2.5,0.0
3870,Gentianella ramosa,8.5,2.3,4.5,x,2.0,0.0
3871,Gentianella tenella,8.0,1.2,5.4,x,x,0.0
3872,Gentianella uliginosa,8.0,5.0,7.0,6.7,2.3,0.3
3873,Geocaryum capillifolium,4.0,4.0,4.0,5.0,4.0,0.0
3874,Geocaryum creticum,8.0,8.0,5.0,7.0,4.0,0.0
3875,Geocaryum cynapioides,4.0,9.0,4.0,6.5,3.5,0.0
3876,Geocaryum peloponesiacum,8.0,8.0,3.8,6.8,3.6,0.1
3877,Geranium aequale,NA,8.0,NA,NA,NA,NA
3878,Geranium argenteum,9.0,2.5,3.0,7.0,2.0,0.0
3879,Geranium asphodeloides,6.5,x,4.4,5.0,3.0,0.0
3880,Geranium austroapenninum,9.0,4.0,2.0,7.0,2.0,0.0
3881,Geranium bohemicum,6.3,3.9,4.8,6.0,7.5,0.0
3882,Geranium cinereum,7.0,2.0,5.0,2.0,2.0,0.0
3883,Geranium collinum,7.5,5.5,6.5,NA,NA,NA
3884,Geranium columbinum,7.6,x,3.4,6.6,x,0.0
3885,Geranium dissectum,7.1,x,x,6.9,5.8,0.1
3886,Geranium divaricatum,6.4,5.9,4.3,6.3,5.5,0.0
3887,Geranium endressii,6.0,x,7.0,7.0,7.0,0.0
3888,Geranium lanuginosum,6.0,4.0,4.0,5.0,5.0,0.0
3889,Geranium lucidum,x,6.8,x,6.9,6.5,0.0
3890,Geranium macrorrhizum,8.0,6.0,2.0,7.0,2.0,0.0
3891,Geranium macrostylum,7.6,8.1,4.3,6.5,3.8,0.0
3892,Geranium molle,7.3,6.1,3.8,6.0,5.1,0.0
3893,Geranium nodosum,4.0,5.7,5.5,6.5,6.0,0.0
3894,Geranium palustre,7.7,5.0,7.1,7.3,7.2,0.0
3895,Geranium phaeum,5.5,4.6,6.1,6.0,6.5,0.0
3896,Geranium pratense,7.6,5.1,5.6,6.8,6.7,0.2
3897,Geranium purpureum,7.0,x,4.3,6.7,x,0.2
3898,Geranium pusillum,7.4,5.9,3.8,6.0,x,0.0
3899,Geranium pyrenaicum,7.5,5.9,x,6.4,6.6,0.0
3900,Geranium reflexum,6.0,4.0,3.0,5.0,8.0,0.0
3901,Geranium robertianum,x,x,5.5,6.2,6.8,0.0
3902,Geranium rotundifolium,7.3,6.9,3.7,6.8,5.4,0.0
3903,Geranium sanguineum,7.1,6.0,3.3,7.4,2.9,0.0
3904,Geranium sibiricum,7.1,x,5.3,6.0,5.7,0.0
3905,Geranium subargenteum,9.0,4.0,4.0,3.0,1.0,NA
3906,Geranium subcaulescens,8.2,7.0,3.7,6.6,3.5,0.0
3907,Geranium sylvaticum aggr.,6.7,3.4,5.8,x,x,0.0
3908,Geranium tuberosum,7.8,x,4.6,8.0,6.0,0.0
3909,Geranium versicolor,4.0,4.0,6.0,6.0,6.0,0.0
3910,Geropogon hybridus,8.3,9.0,4.3,7.0,6.3,0.3
3911,Geum aleppicum,4.0,x,6.0,8.0,4.0,0.0
3912,Geum coccineum,NA,6.0,7.0,NA,NA,NA
3913,Geum heterocarpum,7.0,4.5,4.0,8.0,3.0,0.0
3914,Geum hispidum,7.0,3.0,5.0,6.0,5.0,0.0
3915,Geum micropetalum,5.0,4.0,4.0,5.0,3.0,0.0
3916,Geum molle,7.0,4.0,4.5,7.0,2.0,0.0
3917,Geum montanum,7.4,2.4,5.5,2.3,2.8,0.0
3918,Geum pyrenaicum,8.0,2.0,5.0,6.0,x,0.0
3919,Geum reptans,8.0,1.3,4.7,2.5,1.5,0.0
3920,Geum rhodopeum,NA,NA,7.0,NA,NA,NA
3921,Geum rivale,6.3,3.8,7.5,5.4,x,0.0
3922,Geum sylvaticum,8.0,6.7,2.5,8.0,2.0,0.0
3923,Geum urbanum,x,5.4,5.7,6.8,7.0,0.0
3924,Gladiolus anatolicus,7.0,NA,NA,NA,NA,NA
3925,Gladiolus communis,7.8,x,x,6.2,2.8,0.0
3926,Gladiolus gallaecicus,9.0,5.0,2.0,4.0,1.0,NA
3927,Gladiolus illyricus,7.0,6.7,x,6.7,3.3,0.0
3928,Gladiolus imbricatus,7.5,x,6.2,6.8,3.0,0.0
3929,Gladiolus italicus,7.6,x,4.1,x,x,0.0
3930,Gladiolus palustris,7.8,5.8,6.6,7.8,2.8,0.0
3931,Glandora diffusa,9.0,6.0,2.0,6.0,1.0,0.0
3932,Glandora prostrata,8.0,6.5,4.0,2.5,1.5,0.0
3933,Glandora rosmarinifolia,8.0,8.0,2.0,7.0,1.0,0.0
3934,Glaucium corniculatum,8.3,x,3.7,8.5,5.0,0.3
3935,Glaucium flavum,8.8,x,5.0,8.0,6.5,2.5
3936,Glaux maritima,7.4,5.8,7.2,7.4,5.0,5.8
3937,Glebionis coronaria,7.7,9.3,4.0,7.7,7.7,0.3
3938,Glebionis segetum,7.4,x,x,x,5.3,0.0
3939,Glechoma hederacea,6.3,x,5.9,6.3,6.9,0.1
3940,Glechoma hederacea aggr.,5.0,6.0,6.0,6.0,7.0,1.0
3941,Glechoma hirsuta,5.5,x,4.9,6.5,5.0,0.0
3942,Glechoma sardoa,6.0,8.0,4.0,5.0,3.0,0.0
3943,Gleditsia triacanthos,7.5,7.0,5.1,5.0,5.0,0.0
3944,Glinus lotoides,8.3,10.0,6.5,6.0,x,1.5
3945,Globularia alypum,8.0,9.0,1.7,8.0,3.3,0.0
3946,Globularia bisnagarica,8.4,6.3,2.4,8.6,1.6,0.0
3947,Globularia cordifolia,9.0,3.8,3.6,9.0,1.5,0.0
3948,Globularia incanescens,9.0,5.0,2.0,9.0,1.0,0.0
3949,Globularia meridionalis,9.0,4.0,2.0,9.0,1.0,0.0
3950,Globularia neapolitana,9.0,6.0,2.0,7.0,1.0,0.0
3951,Globularia nudicaulis,7.7,3.0,3.8,7.7,2.0,0.0
3952,Globularia repens,8.7,4.0,2.7,7.0,1.3,0.0
3953,Globularia trichosantha,8.0,6.0,5.0,NA,NA,NA
3954,Globularia vulgaris,9.0,6.7,2.0,7.5,2.0,0.0
3955,Glossopappus macrotus,7.8,9.6,3.0,6.8,4.9,0.2
3956,Glyceria arundinacea,8.0,5.5,9.0,NA,NA,NA
3957,Glyceria declinata,6.9,5.4,9.0,6.4,6.0,0.0
3958,Glyceria fluitans aggr.,7.1,4.9,9.6,x,x,0.1
3959,Glyceria maxima,8.3,5.3,9.8,7.7,8.1,0.1
3960,Glyceria nemoralis,6.8,5.3,9.3,7.0,6.3,0.0
3961,Glyceria notata,7.8,5.1,9.7,x,x,0.5
3962,Glyceria spicata,7.7,NA,10.4,NA,4.4,2.0
3963,Glycyrrhiza echinata,7.5,8.5,6.5,7.5,4.5,0.0
3964,Glycyrrhiza glabra,7.4,x,x,7.2,6.4,0.4
3965,Gnaphalium diminutum,7.0,2.0,5.0,8.0,3.0,0.0
3966,Gnaphalium hoppeanum,8.0,2.0,x,7.8,3.3,0.0
3967,Gnaphalium norvegicum,7.1,2.8,4.7,4.2,3.8,0.0
3968,Gnaphalium supinum,7.5,1.8,7.0,3.0,3.6,0.0
3969,Gnaphalium sylvaticum,7.5,4.7,x,3.8,x,0.0
3970,Gnaphalium uliginosum,7.4,5.5,x,x,4.7,0.2
3971,Goniolimon besserianum,8.5,5.5,3.0,NA,NA,NA
3972,Goniolimon graminifolium,8.5,5.5,3.0,NA,NA,NA
3973,Goniolimon italicum,9.0,6.0,3.0,7.0,2.0,0.0
3974,Goniolimon rubellum,8.5,5.3,3.3,NA,NA,NA
3975,Goniolimon tataricum,8.5,5.5,3.5,NA,NA,NA
3976,Goodyera repens,4.5,4.6,4.4,3.6,2.1,0.0
3977,Gouffeia arenarioides,7.7,7.3,2.4,6.4,2.4,0.1
3978,Grafia golaka,7.0,5.0,4.0,7.0,2.0,0.0
3979,Gratiola neglecta,NA,8.0,NA,NA,NA,NA
3980,Gratiola officinalis,7.5,6.8,8.1,6.4,4.6,0.6
3981,Grindelia squarrosa,8.0,5.5,4.8,NA,NA,NA
3982,Groenlandia densa,7.0,x,12.0,7.1,x,0.3
3983,Gymnadenia archiducis-joannis,NA,2.0,NA,NA,NA,NA
3984,Gymnadenia borealis,8.0,3.0,7.0,7.0,2.0,0.0
3985,Gymnadenia buschmanniae,NA,1.0,NA,NA,NA,NA
3986,Gymnadenia conopsea,7.6,4.6,6.2,7.4,2.7,0.0
3987,Gymnadenia conopsea aggr.,NA,NA,7.0,NA,NA,NA
3988,Gymnadenia frivaldii,NA,NA,8.0,NA,NA,NA
3989,Gymnadenia lithopolitanica,NA,2.0,NA,NA,NA,NA
3990,Gymnadenia nigra aggr.,8.2,2.6,4.7,7.9,2.3,0.0
3991,Gymnadenia odoratissima,7.1,4.8,x,7.7,2.0,0.0
3992,Gymnadenia rhellicani,8.3,2.1,5.0,x,2.7,0.0
3993,Gymnadenia stiriaca,NA,2.0,NA,NA,NA,NA
3994,Gymnadenia widderi,NA,2.0,NA,NA,NA,NA
3995,Gymnocarpium dryopteris,3.1,x,x,4.0,4.9,0.0
3996,Gymnocarpium robertianum,x,4.3,x,7.8,3.5,0.0
3997,Gymnospermium odessanum,7.0,5.8,3.8,NA,NA,NA
3998,Gypsophila acutifolia,8.5,5.8,4.8,NA,NA,NA
3999,Gypsophila arrostii,9.0,8.0,3.0,6.0,2.0,0.0
4000,Gypsophila collina,8.0,5.5,4.8,NA,NA,NA
4001,Gypsophila confertifolia,8.0,11.0,2.0,8.0,NA,0.0
4002,Gypsophila elegans,8.5,6.6,4.5,NA,NA,NA
4003,Gypsophila fastigiata,7.9,x,2.7,7.0,1.3,0.0
4004,Gypsophila glomerata,8.5,5.5,4.8,NA,NA,NA
4005,Gypsophila muralis,7.9,6.1,6.7,4.0,2.8,0.5
4006,Gypsophila nana,8.0,7.0,3.0,8.0,2.0,0.0
4007,Gypsophila oligosperma,8.0,4.8,4.0,NA,NA,NA
4008,Gypsophila paniculata,8.7,6.5,3.0,7.5,3.0,0.0
4009,Gypsophila papillosa,9.0,7.0,2.0,6.0,2.0,0.0
4010,Gypsophila perfoliata,8.3,5.8,4.8,NA,NA,NA
4011,Gypsophila petraea,8.0,3.3,5.5,NA,NA,NA
4012,Gypsophila repens,8.8,3.3,4.6,8.0,1.8,0.0
4013,Gypsophila scorzonerifolia,8.5,4.8,6.3,NA,NA,NA
4014,Gypsophila struthium,8.5,9.3,2.4,7.9,3.5,0.5
4015,Gypsophila thyraica,8.0,4.8,4.5,NA,NA,NA
4016,Hackelia deflexa,7.3,4.2,4.5,7.0,7.6,0.0
4017,Hacquetia epipactis,4.0,5.3,4.5,7.0,5.0,0.0
4018,Hainardia cylindrica,8.3,9.0,3.7,7.3,5.0,3.0
4019,Halacsya sendtneri,7.9,6.1,4.4,NA,NA,NA
4020,Halimione pedunculata,8.9,5.2,7.8,7.3,7.8,6.8
4021,Halimione portulacoides,8.7,x,7.5,7.5,6.8,7.3
4022,Halimione verrucifera,8.5,5.8,6.8,NA,NA,NA
4023,Halocnemum strobilaceum,8.8,x,6.8,8.0,7.0,8.0
4024,Halogeton sativus,9.0,10.0,10.0,NA,7.0,8.0
4025,Halopeplis amplexicaulis,9.0,11.0,8.0,8.0,7.0,8.0
4026,Hammarbya paludosa,8.3,4.8,8.8,2.0,1.8,0.0
4027,Haplophyllum buxbaumii,8.0,11.0,2.0,8.0,5.0,1.0
4028,Haplophyllum patavinum,7.0,7.0,3.0,3.0,2.0,0.0
4029,Haplophyllum suaveolens,8.0,5.8,4.8,NA,NA,NA
4030,Hedera helix aggr.,x,x,5.3,6.2,x,0.1
4031,Hedera taurica,4.5,5.8,6.3,NA,NA,NA
4032,Hedypnois rhagadioloides,8.0,9.7,3.5,7.8,5.9,0.5
4033,Hedysarum alpinum,NA,NA,6.0,NA,NA,NA
4034,Hedysarum boutignyanum,8.0,2.5,5.0,8.0,2.0,0.0
4035,Hedysarum boveanum,8.5,7.0,2.5,7.5,3.0,0.0
4036,Hedysarum candidum,8.5,5.8,4.5,NA,NA,NA
4037,Hedysarum coronarium,8.0,9.0,x,8.0,5.0,1.0
4038,Hedysarum cretaceum,8.5,5.3,4.5,NA,NA,NA
4039,Hedysarum grandiflorum,8.5,4.8,4.5,NA,NA,NA
4040,Hedysarum hedysaroides,8.2,2.5,5.2,7.3,2.8,0.0
4041,Hedysarum macedonicum,8.2,7.3,3.6,6.6,3.5,0.1
4042,Hedysarum spinosissimum,8.5,9.8,2.3,x,x,1.0
4043,Hedysarum tauricum,8.5,6.3,5.5,NA,NA,NA
4044,Hedysarum ucrainicum,8.5,5.3,4.8,NA,NA,NA
4045,Helianthemum aegyptiacum,8.5,11.5,2.0,7.5,3.5,0.0
4046,Helianthemum allionii,9.0,4.0,3.0,7.0,2.0,0.0
4047,Helianthemum alpestre,9.0,2.5,3.7,8.3,2.0,0.0
4048,Helianthemum apenninum,8.5,x,1.8,7.7,1.3,0.0
4049,Helianthemum asperum,8.7,7.0,2.5,7.3,2.3,0.0
4050,Helianthemum canum,8.4,x,2.3,8.1,1.5,0.0
4051,Helianthemum caput-felis,9.0,11.0,1.0,2.0,1.0,0.0
4052,Helianthemum cinereum,9.0,6.0,3.0,7.0,2.0,0.0
4053,Helianthemum cretophilum,8.5,5.3,2.8,NA,NA,NA
4054,Helianthemum croceum,8.5,5.5,3.0,7.5,2.0,0.0
4055,Helianthemum georgicum,8.0,5.3,4.5,NA,NA,NA
4056,Helianthemum hirtum,8.0,7.5,2.0,8.0,3.0,0.0
4057,Helianthemum hymettium,8.0,8.0,3.0,6.0,2.0,0.0
4058,Helianthemum italicum,8.5,x,3.0,7.5,1.5,0.0
4059,Helianthemum jonium,9.0,10.0,2.0,7.0,1.0,0.0
4060,Helianthemum ledifolium,8.7,7.3,2.1,7.5,2.0,0.0
4061,Helianthemum lippii,9.0,11.5,2.0,7.5,3.5,0.0
4062,Helianthemum lunulatum,9.0,4.0,3.0,7.0,2.0,0.0
4063,Helianthemum marifolium,8.0,8.0,3.0,8.0,4.0,0.0
4064,Helianthemum nebrodense,9.0,4.0,3.0,7.0,2.0,0.0
4065,Helianthemum nummularium,7.9,x,3.5,7.5,2.1,0.0
4066,Helianthemum oelandicum,8.4,4.0,3.6,6.9,2.1,0.0
4067,Helianthemum orientale,8.0,5.8,3.8,NA,NA,NA
4068,Helianthemum rupifragum,9.0,6.0,2.0,9.0,1.0,0.0
4069,Helianthemum salicifolium,8.2,7.8,2.7,6.3,x,0.3
4070,Helianthemum sanguineum,9.0,11.0,2.0,7.0,2.0,0.0
4071,Helianthemum squamatum,8.6,9.5,2.1,8.0,3.8,0.5
4072,Helianthemum stevenii,7.5,5.5,3.3,NA,NA,NA
4073,Helianthemum stipulatum,9.0,12.0,NA,9.0,6.0,2.0
4074,Helianthemum syriacum,8.7,9.3,2.0,7.7,2.0,0.0
4075,Helianthemum violaceum,9.0,8.0,3.0,7.0,2.0,0.0
4076,Helianthus annuus,7.8,x,5.3,6.3,7.3,0.0
4077,Helianthus tuberosus,7.8,6.9,6.4,7.2,7.7,0.0
4078,Helichrysum arenarium,8.1,6.3,2.6,6.0,1.3,0.0
4079,Helichrysum doerfleri,8.0,10.0,3.0,6.0,1.0,0.0
4080,Helichrysum graveolens,8.0,5.5,5.3,NA,NA,NA
4081,Helichrysum heldreichii,7.0,11.0,2.0,8.0,3.0,0.0
4082,Helichrysum italicum,8.3,8.7,4.0,7.3,3.0,1.3
4083,Helichrysum litoreum,8.7,9.6,2.9,6.8,3.5,4.0
4084,Helichrysum nebrodense,9.0,4.0,2.0,7.0,1.0,0.0
4085,Helichrysum orientale,7.0,11.0,2.0,8.0,3.0,1.0
4086,Helichrysum pendulum,9.0,9.0,2.0,7.0,1.0,0.0
4087,Helichrysum saxatile,9.0,10.0,2.0,7.0,1.0,0.0
4088,Helichrysum stoechas,8.7,9.0,2.8,x,1.5,0.5
4089,Helicodiceros muscivorus,7.0,7.5,4.0,x,7.0,0.0
4090,Helictochloa adsurgens,7.0,5.3,3.0,3.0,2.0,0.0
4091,Helictochloa aetolica,8.8,6.2,2.8,7.4,2.5,0.0
4092,Helictochloa agropyroides,8.0,NA,4.0,7.0,5.0,0.0
4093,Helictochloa bromoides,8.0,8.0,3.5,7.5,3.0,0.0
4094,Helictochloa cincinnata,8.0,8.0,3.0,7.0,3.0,0.0
4095,Helictochloa compressa,7.8,6.0,4.3,8.0,3.0,0.0
4096,Helictochloa hookeri,8.0,4.5,5.5,NA,NA,NA
4097,Helictochloa marginata,8.0,6.0,4.0,3.0,2.0,0.0
4098,Helictochloa planiculmis,7.5,3.3,5.4,4.0,4.0,0.0
4099,Helictochloa praeusta,8.0,3.8,5.1,4.5,3.0,0.0
4100,Helictochloa pratensis,7.4,5.9,3.0,6.9,2.0,0.0
4101,Helictochloa versicolor,8.6,2.5,5.4,3.2,2.2,0.0
4102,Helictotrichon cantabricum,9.0,6.0,2.0,7.0,1.0,0.0
4103,Helictotrichon convolutum,7.0,5.0,3.0,6.0,3.0,0.0
4104,Helictotrichon decorum,7.8,6.0,3.6,7.1,2.8,0.0
4105,Helictotrichon desertorum,8.5,6.5,2.8,7.0,2.0,0.0
4106,Helictotrichon filifolium,8.7,7.0,2.6,7.4,2.6,0.0
4107,Helictotrichon parlatorei,8.7,2.5,5.0,8.7,3.0,0.0
4108,Helictotrichon petzense,NA,3.0,NA,NA,NA,NA
4109,Helictotrichon sedenense,8.7,3.0,4.1,7.2,2.0,0.0
4110,Helictotrichon sempervirens,8.0,3.0,4.0,9.0,3.0,0.0
4111,Helictotrichon setaceum,8.0,3.3,4.0,8.5,3.0,0.0
4112,Heliosperma pusillum,7.3,3.8,8.0,8.3,2.0,0.0
4113,Heliosperma veselskyi,4.0,4.5,4.0,8.0,3.0,0.0
4114,Heliotropium amplexicaule,9.0,9.0,3.0,5.0,2.0,0.0
4115,Heliotropium ellipticum,8.5,5.5,5.5,NA,NA,NA
4116,Heliotropium europaeum,8.0,8.3,3.4,7.7,6.4,0.8
4117,Heliotropium hirsutissimum,8.0,11.0,4.0,8.0,8.0,1.0
4118,Heliotropium stevenianum,8.5,6.3,5.8,NA,NA,NA
4119,Heliotropium suaveolens,8.0,9.0,3.5,7.0,5.5,0.0
4120,Heliotropium supinum,8.8,9.8,7.3,6.8,x,0.5
4121,Helleborus dumetorum,3.0,6.5,6.0,7.0,4.0,0.0
4122,Helleborus foetidus,5.5,6.7,3.7,8.2,2.8,0.0
4123,Helleborus lividus,6.5,5.0,4.0,4.0,5.0,0.0
4124,Helleborus niger,4.5,5.2,5.0,8.0,4.0,0.0
4125,Helleborus odorus,5.0,7.3,4.5,7.0,5.0,0.0
4126,Helleborus orientalis,7.0,7.0,6.0,8.0,8.0,0.0
4127,Helleborus purpurascens,4.3,5.4,5.5,7.0,4.0,0.0
4128,Helleborus viridis,x,6.4,4.9,7.9,5.4,0.0
4129,Hellenocarum multiflorum,8.0,9.0,3.0,7.5,3.5,0.5
4130,Helminthotheca aculeata,8.0,7.0,3.0,7.0,3.0,0.0
4131,Helminthotheca echioides,7.8,x,x,7.0,6.0,0.0
4132,Helosciadium crassipes,9.0,9.0,9.0,5.0,3.0,0.0
4133,Helosciadium inundatum,7.0,6.8,9.7,5.5,2.6,0.0
4134,Helosciadium nodiflorum,7.1,x,10.0,6.8,6.1,0.5
4135,Helosciadium repens,8.1,x,8.4,6.1,x,0.5
4136,Hemarthria altissima,5.5,9.5,8.5,7.5,7.0,0.0
4137,Hemerocallis lilioasphodelus,6.3,6.5,7.0,6.0,5.7,0.0
4138,Hepatica nobilis,x,5.8,x,7.3,4.0,0.0
4139,Heptaptera angustifolia,4.0,7.0,4.0,5.0,4.0,0.0
4140,Heptaptera colladonioides,7.0,11.0,3.0,8.0,5.0,0.0
4141,Heracleum austriacum,8.0,3.7,5.7,7.5,4.0,0.0
4142,Heracleum carpaticum,7.5,3.0,7.5,NA,NA,NA
4143,Heracleum ligusticifolium,8.0,4.5,5.3,NA,NA,NA
4144,Heracleum mantegazzianum,8.0,6.0,5.8,6.0,8.0,0.0
4145,Heracleum pumilum,NA,4.0,NA,NA,NA,NA
4146,Heracleum sphondylium,7.1,4.5,5.5,6.6,7.2,0.1
4147,Herminium monorchis,7.3,4.7,x,8.0,2.8,0.0
4148,Herniaria alpina,8.7,1.3,4.7,x,2.3,0.0
4149,Herniaria ciliolata,9.0,NA,4.0,5.0,1.0,2.0
4150,Herniaria fontanesii,9.0,12.0,1.0,2.0,1.0,0.0
4151,Herniaria fruticosa,8.6,9.5,2.1,8.0,3.8,0.5
4152,Herniaria glabra,8.6,5.9,3.5,x,2.5,0.0
4153,Herniaria hirsuta,8.7,x,3.3,x,x,0.0
4154,Herniaria incana,8.5,6.8,3.1,6.0,2.0,0.0
4155,Herniaria latifolia,9.0,6.0,1.0,4.0,3.0,NA
4156,Herniaria litardierei,8.0,4.0,5.0,2.0,3.0,0.0
4157,Herniaria parnassica,9.0,NA,5.0,7.0,6.0,0.0
4158,Herniaria polygama,7.5,4.8,3.3,NA,NA,NA
4159,Herniaria scabrida,9.0,8.0,1.0,3.0,1.0,NA
4160,Hesperis inodora,5.0,5.0,5.0,7.0,6.0,0.0
4161,Hesperis laciniata,6.0,7.5,2.0,7.0,1.0,0.0
4162,Hesperis matronalis,x,x,6.6,6.9,7.1,0.0
4163,Hesperis matronalis aggr.,6.0,6.0,5.0,7.0,6.0,0.0
4164,Hesperis pycnotricha,7.5,5.3,5.8,NA,NA,NA
4165,Hesperis sibirica,5.0,4.5,6.5,NA,NA,NA
4166,Hesperis steveniana,7.0,6.3,4.5,NA,NA,NA
4167,Hesperis sylvestris,5.5,6.6,5.8,7.0,5.0,0.0
4168,Hesperis tristis,7.8,7.3,3.5,8.0,3.0,0.0
4169,Heteropogon contortus,9.0,8.3,2.5,7.5,3.0,0.0
4170,Hibiscus trionum,7.7,x,5.0,6.6,6.6,0.2
4171,Hieracium alpinum aggr.,8.2,2.2,5.1,1.5,1.5,0.0
4172,Hieracium amplexicaule,8.3,3.8,3.0,6.5,2.0,0.0
4173,Hieracium armerioides,8.0,2.0,5.0,8.0,2.5,0.0
4174,Hieracium barrelieri,4.0,NA,5.0,5.0,NA,0.0
4175,Hieracium bifidum,8.0,3.5,4.0,8.0,2.8,0.0
4176,Hieracium bocconei,8.0,2.0,5.0,8.0,3.0,0.0
4177,Hieracium bombycinum,9.0,3.0,1.0,7.0,1.0,NA
4178,Hieracium bracteolatum,5.7,7.7,4.9,6.3,4.3,0.0
4179,Hieracium brevifolium,6.0,6.0,5.0,4.0,2.0,0.0
4180,Hieracium bupleuroides,8.9,3.9,3.8,8.7,1.7,0.0
4181,Hieracium caesium,8.3,4.1,4.3,7.8,3.0,0.0
4182,Hieracium cerinthoides,NA,2.0,NA,NA,NA,NA
4183,Hieracium compositum,6.0,3.0,5.0,4.0,4.0,0.0
4184,Hieracium dollineri,9.0,3.0,4.0,8.0,2.0,0.0
4185,Hieracium fuscocinereum,5.0,5.0,5.0,7.0,5.0,0.0
4186,Hieracium glabratum,9.0,2.0,4.0,8.0,NA,0.0
4187,Hieracium glaucinum,6.8,6.3,3.6,4.0,2.2,0.0
4188,Hieracium glaucomorphum,9.0,5.0,2.0,8.0,1.0,0.0
4189,Hieracium glaucum,9.0,3.5,3.5,8.5,1.5,0.0
4190,Hieracium heldreichii,8.0,7.0,NA,8.0,NA,0.0
4191,Hieracium humile,7.5,3.3,4.0,7.0,1.5,0.0
4192,Hieracium hypochoeroides,7.0,6.0,3.0,7.5,1.8,0.0
4193,Hieracium inuloides,6.8,3.0,5.0,4.8,3.3,0.0
4194,Hieracium juranum,7.0,2.5,5.0,4.0,3.5,0.0
4195,Hieracium jurassicum,5.0,3.0,6.0,5.0,NA,0.0
4196,Hieracium kossuthianum,8.0,6.0,3.0,8.0,1.0,0.0
4197,Hieracium lachenalii,5.4,5.0,5.0,4.0,2.4,0.0
4198,Hieracium laevigatum,6.6,5.4,5.0,3.1,2.2,0.0
4199,Hieracium lainzii,9.0,3.0,1.0,7.0,1.0,NA
4200,Hieracium lanifolium,5.0,6.0,4.0,4.0,3.0,0.0
4201,Hieracium lawsonii,8.0,2.5,3.0,NA,2.0,0.0
4202,Hieracium levicaule,9.0,4.0,3.0,8.0,2.0,0.0
4203,Hieracium longifolium,NA,2.0,NA,NA,NA,NA
4204,Hieracium lucidum,6.0,10.0,1.0,7.0,1.0,0.0
4205,Hieracium lycopifolium,5.5,4.5,4.5,4.5,4.0,0.0
4206,Hieracium maculatum,5.3,6.5,4.2,4.5,3.0,0.0
4207,Hieracium mixtum,8.0,3.0,2.0,7.0,1.0,0.0
4208,Hieracium murorum,5.2,x,5.1,5.2,3.6,0.0
4209,Hieracium naegelianum,9.0,2.0,3.0,8.0,1.0,0.0
4210,Hieracium neyranum,6.0,3.0,4.0,7.0,4.0,0.0
4211,Hieracium nobile,8.0,4.5,3.0,5.5,3.5,0.0
4212,Hieracium pannosum,8.4,5.3,2.7,6.4,2.3,0.0
4213,Hieracium pellitum,8.0,2.0,5.0,8.0,2.0,0.0
4214,Hieracium picroides,8.0,3.0,4.0,4.0,NA,0.0
4215,Hieracium pictum,7.0,x,3.0,3.0,2.0,0.0
4216,Hieracium piliferum,8.5,1.3,5.3,x,1.3,0.0
4217,Hieracium pilosum,9.0,2.0,4.5,8.5,2.5,0.0
4218,Hieracium porrifolium,9.0,7.0,2.0,8.0,1.0,0.0
4219,Hieracium portanum,6.0,4.0,3.0,7.0,1.0,0.0
4220,Hieracium praecurrens,4.0,5.0,5.0,5.0,3.0,0.0
4221,Hieracium prenanthoides,6.9,3.0,x,4.4,4.4,0.0
4222,Hieracium racemosum,6.0,x,4.5,4.2,3.3,0.0
4223,Hieracium ramosissimum,6.0,3.0,5.0,4.0,4.0,0.0
4224,Hieracium ramosum,8.0,4.0,2.0,4.0,1.0,0.0
4225,Hieracium rapunculoides,6.0,3.0,5.0,4.0,4.0,0.0
4226,Hieracium sabaudum,6.3,6.0,4.8,3.8,2.4,0.0
4227,Hieracium sabaudum aggr.,NA,7.0,NA,NA,NA,NA
4228,Hieracium schmidtii,7.5,5.8,3.8,x,1.7,0.0
4229,Hieracium schmidtii aggr.,NA,6.0,NA,NA,NA,NA
4230,Hieracium scorzonerifolium,9.0,NA,4.0,9.0,2.0,0.0
4231,Hieracium sparsum,NA,3.0,NA,NA,NA,NA
4232,Hieracium sudeticum,7.0,NA,NA,NA,NA,0.0
4233,Hieracium tenuiflorum,NA,6.0,NA,NA,NA,NA
4234,Hieracium tomentosum,7.3,3.7,3.0,7.0,2.5,0.0
4235,Hieracium transylvanicum,7.0,4.5,5.5,NA,NA,NA
4236,Hieracium umbellatum,x,5.6,4.7,4.2,2.2,0.0
4237,Hieracium umbrosum,7.0,3.5,x,2.5,2.5,0.0
4238,Hieracium valdepilosum,8.0,3.0,5.0,7.0,4.0,0.0
4239,Hieracium vasconicum,6.0,5.0,4.0,5.0,4.0,0.0
4240,Hieracium verbascifolium,6.0,3.0,5.0,4.0,4.0,0.0
